import time: self [us] | cumulative | imported package
import time:       126 |        126 |   _io
import time:        19 |         19 |   marshal
import time:       159 |        159 |   posix
import time:       372 |        675 | _frozen_importlib_external
import time:       499 |        499 |   time
import time:       156 |        655 | zipimport
import time:        35 |         35 |     _codecs
import time:       407 |        441 |   codecs
import time:       800 |        800 |   encodings.aliases
import time:       774 |       2014 | encodings
import time:       287 |        287 | encodings.utf_8
import time:        67 |         67 | _signal
import time:        24 |         24 |     _abc
import time:       152 |        175 |   abc
import time:       120 |        294 | io
import time:        24 |         24 |       _stat
import time:        55 |         78 |     stat
import time:       526 |        526 |     _collections_abc
import time:        26 |         26 |       errno
import time:        47 |         47 |       genericpath
import time:        81 |        152 |     posixpath
import time:       312 |       1066 |   os
import time:        51 |         51 |   _sitebuiltins
import time:        66 |         66 |             itertools
import time:       231 |        231 |             keyword
import time:        43 |         43 |               _operator
import time:       263 |        305 |             operator
import time:       337 |        337 |             reprlib
import time:        35 |         35 |             _collections
import time:       636 |       1608 |           collections
import time:        29 |         29 |           _functools
import time:       658 |       2294 |         functools
import time:       308 |        308 |         types
import time:      1140 |       3740 |       enum
import time:        33 |         33 |         _sre
import time:       356 |        356 |           re._constants
import time:       453 |        808 |         re._parser
import time:       448 |        448 |         re._casefix
import time:       523 |       1811 |       re._compiler
import time:       274 |        274 |       copyreg
import time:       468 |       6292 |     re
import time:       776 |       7067 |   sitecustomize
import time:       888 |       9071 | site
import time:       317 |        317 | linecache
import time:       437 |        437 |   __future__
import time:       281 |        281 |   importlib
import time:       818 |        818 |   warnings
import time:       546 |        546 |             _json
import time:       444 |        990 |           json.scanner
import time:       424 |       1414 |         json.decoder
import time:       258 |        258 |         json.encoder
import time:       265 |       1936 |       json
import time:       685 |        685 |           textwrap
import time:       712 |        712 |           contextlib
import time:       440 |        440 |           _colorize
import time:       771 |       2606 |         traceback
import time:       432 |        432 |           _weakrefset
import time:       853 |       1284 |         weakref
import time:        22 |         22 |           _string
import time:       524 |        546 |         string
import time:       741 |        741 |         threading
import time:        22 |         22 |         atexit
import time:      1520 |       6717 |       logging
import time:       150 |        150 |             fnmatch
import time:       751 |        901 |           glob
import time:       641 |       1542 |         pathlib._abc
import time:        52 |         52 |             _winapi
import time:        51 |         51 |             nt
import time:        51 |         51 |             nt
import time:        43 |         43 |             nt
import time:        38 |         38 |             nt
import time:        36 |         36 |             nt
import time:        34 |         34 |             nt
import time:        37 |         37 |             nt
import time:      2658 |       2997 |           ntpath
import time:        22 |         22 |           pwd
import time:       392 |        392 |           grp
import time:       683 |       4093 |         pathlib._local
import time:       418 |       6052 |       pathlib
import time:        18 |         18 |             _typing
import time:      1664 |       1681 |           typing
import time:       198 |        198 |             transformers.dependency_versions_table
import time:       398 |        398 |                 packaging
import time:       309 |        309 |                   packaging._structures
import time:      2495 |       2804 |                 packaging.version
import time:        43 |         43 |                       _ast
import time:      1008 |       1051 |                     ast
import time:       392 |        392 |                         _opcode
import time:       205 |        205 |                         _opcode_metadata
import time:       242 |        838 |                       opcode
import time:       875 |       1712 |                     dis
import time:        42 |         42 |                     importlib.machinery
import time:       282 |        282 |                       token
import time:        21 |         21 |                       _tokenize
import time:       729 |       1032 |                     tokenize
import time:      1480 |       5315 |                   inspect
import time:       694 |        694 |                         unicodedata
import time:       892 |        892 |                         regex._regex
import time:      3477 |       5062 |                       regex._regex_core
import time:        45 |         45 |                         _locale
import time:       821 |        866 |                       locale
import time:        24 |         24 |                       regex.DEFAULT_VERSION
import time:       739 |       6689 |                     regex._main
import time:       229 |       6917 |                   regex
import time:       897 |        897 |                     _socket
import time:      1704 |       2600 |                   typing_extensions
import time:       413 |        413 |                   transformers.utils.doc
import time:       540 |        540 |                       math
import time:       365 |        365 |                         _bisect
import time:       244 |        608 |                       bisect
import time:       745 |        745 |                       _random
import time:       492 |       2384 |                     random
import time:       183 |        183 |                       copy
import time:       626 |        809 |                     dataclasses
import time:       619 |        619 |                       numpy.version
import time:       223 |        223 |                       numpy._expired_attrs_2_0
import time:       215 |        215 |                           numpy._utils._convertions
import time:       376 |        591 |                         numpy._utils
import time:       320 |        910 |                       numpy._globals
import time:        17 |         17 |                         numpy._distributor_init_local
